key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1829093645,Brazil,-14.881111,-39.025278,1,2018,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1890644181,Brazil,-24.010889,-46.498889,1,2017,PRESERVED_SPECIMEN,HEPH - Herbário Ezechias Paulo Heringer,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1658213819,Brazil,-24.019444,-46.504444,1,2017,PRESERVED_SPECIMEN,SPSF - Herbário Dom Bento José Pickel,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1658213801,Brazil,-24.004167,-46.499167,1,2017,PRESERVED_SPECIMEN,SPSF - Herbário Dom Bento José Pickel,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1913603307,Brazil,,,4,2017,PRESERVED_SPECIMEN,CRI - Herbário Pe. Dr. Raulino Reitz,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1585202542,Brazil,-27.5272,-48.4219,5,2017,PRESERVED_SPECIMEN,EFC - Herbário Escola de Florestas Curitiba,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1571087023,Brazil,-29.983629,-50.122608,6,2017,HUMAN_OBSERVATION,iNaturalist research-grade observations,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1913603600,Brazil,,,9,2017,PRESERVED_SPECIMEN,CRI - Herbário Pe. Dr. Raulino Reitz,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1676572934,Brazil,,,9,2017,PRESERVED_SPECIMEN,CRI - Herbário Pe. Dr. Raulino Reitz,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1819183111,Brazil,-22.753889,-41.996944,10,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1324589728,Brazil,-11.0334,-37.34928,4,2016,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1455752785,Brazil,-13.716667,-39.133333,8,2016,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1853943396,Brazil,,,8,2016,PRESERVED_SPECIMEN,HPBR - Herbário Padre Balduino Rambo,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1899819086,Brazil,-24.370278,-51.954722,10,2016,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1324597291,Brazil,-24.370333,-51.954806,10,2016,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1455391207,Brazil,-25.550528,-48.301167,10,2016,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1455391216,Brazil,-25.54,-48.305833,10,2016,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1563170162,Brazil,-26.599167,-48.673889,11,2016,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1213528167,Brazil,-29.905908,-50.215789,7,2015,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1838084587,Brazil,-29.905833,-50.215833,7,2015,PRESERVED_SPECIMEN,FUEL - Herbário da Universidade Estadual de Londrina,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1837381347,Brazil,-29.905833,-50.215833,7,2015,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1658212205,Brazil,,,7,2015,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1143417478,Brazil,-14.943889,-39.011111,8,2015,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1423898324,Brazil,-23.059722,-43.984722,9,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1570756017,Brazil,-24.556667,-46.689167,10,2015,PRESERVED_SPECIMEN,HUSC - Herbário Unisanta,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1275058026,Brazil,-27.45,-48.372222,11,2015,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1837385555,Brazil,-28.104722,-48.680833,1,2014,PRESERVED_SPECIMEN,"EAFM - Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas",Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1801100784,Brazil,-27.655,-48.476667,2,2014,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1303590318,Brazil,-7.081972,-41.472611,3,2014,PRESERVED_SPECIMEN,HUEM - Herbário UEM,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1090614138,Brazil,-31.008,-51.493258,9,2014,PRESERVED_SPECIMEN,MPUC - Herbário do Museu da Pontifícia Universidade Católica do Rio Grande do Sul,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1702656139,Brazil,-5.400556,-35.459722,9,2014,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1087709977,Brazil,-12.365,-38.868889,11,2014,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1213516553,Brazil,,,11,2014,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1585200419,Brazil,-25.5686,-48.3065,11,2014,PRESERVED_SPECIMEN,EFC - Herbário Escola de Florestas Curitiba,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1094911517,Brazil,-11.559167,-40.905556,3,2013,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1094912430,Brazil,-14.500278,-39.035556,4,2013,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1087695539,Brazil,-10.658056,-37.304444,5,2013,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1658212078,Brazil,,,9,2013,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1208837888,Brazil,0,0,9,2013,PRESERVED_SPECIMEN,HUSC - Herbário Unisanta,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1658212043,Brazil,,,9,2013,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1090868234,Brazil,,,10,2013,PRESERVED_SPECIMEN,VIES - Herbário Central da Universidade Federal do Espírito Santo VIES,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1424478983,Brazil,-22.898611,-42.031389,12,2013,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1087712409,Brazil,,,1,2012,PRESERVED_SPECIMEN,LUSC - Herbário de Lages da Universidade do Estado de Santa Catarina,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1087686579,Brazil,-11.009444,-37.076111,1,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1087712363,Brazil,,,1,2012,PRESERVED_SPECIMEN,LUSC - Herbário de Lages da Universidade do Estado de Santa Catarina,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1213516575,Brazil,-11.009444,-37.076111,1,2012,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1087712400,Brazil,,,1,2012,PRESERVED_SPECIMEN,LUSC - Herbário de Lages da Universidade do Estado de Santa Catarina,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1087712421,Brazil,,,1,2012,PRESERVED_SPECIMEN,LUSC - Herbário de Lages da Universidade do Estado de Santa Catarina,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077240519,Brazil,-15.85,-38.866667,2,2012,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1234555262,Brazil,0,0,2,2012,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1123830183,Brazil,-22.041389,-41.033333,3,2012,PRESERVED_SPECIMEN,MBML-Herbario - Herbário Mello Leitão,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1123831172,Brazil,-22.041389,-41.048333,3,2012,PRESERVED_SPECIMEN,MBML-Herbario - Herbário Mello Leitão,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1658211290,Brazil,,,3,2012,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1675531855,Brazil,0,0,4,2012,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1095368741,Brazil,0,0,4,2012,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1089192099,Brazil,-7.116667,-34.966667,5,2012,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1424440186,Brazil,-22.568889,-41.981667,6,2012,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1424440278,Brazil,-23.066111,-43.533889,6,2012,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1424440227,Brazil,-23.049167,-43.621389,7,2012,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1424440336,Brazil,-23.176111,-44.296111,7,2012,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1658211538,Brazil,-8.071917,-39.118139,7,2012,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1424440154,Brazil,-23.015833,-43.416389,8,2012,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1087688573,Brazil,-10.737778,-36.855833,8,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1423900494,Brazil,,,10,2012,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077375038,Brazil,-27.526944,-48.428889,11,2012,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1657212804,Brazil,-10.4533,-36.6514,3,2011,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1086964937,Brazil,0,0,4,2011,PRESERVED_SPECIMEN,FUEL - Herbário da Universidade Estadual de Londrina,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077503883,Brazil,0,0,4,2011,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1848243055,Brazil,0,0,4,2011,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1089254848,Brazil,0,0,5,2011,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1095351342,Brazil,0,0,5,2011,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077365027,Brazil,,,5,2011,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1095351355,Brazil,0,0,5,2011,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1099327383,Brazil,,,8,2011,PRESERVED_SPECIMEN,MOSS - Herbário Dárdano de Andrade Lima,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1089113175,Brazil,0,0,8,2011,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1089259674,Brazil,-3.820833,-39.343056,10,2011,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1853943394,Brazil,,,10,2011,PRESERVED_SPECIMEN,HPBR - Herbário Padre Balduino Rambo,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1086965154,Brazil,-30.423611,-50.298333,11,2011,PRESERVED_SPECIMEN,FUEL - Herbário da Universidade Estadual de Londrina,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1087530229,Brazil,-30.423611,-50.298333,11,2011,PRESERVED_SPECIMEN,JOI - Herbário Joinvillea,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1675531801,Brazil,0,0,11,2011,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1089279201,Brazil,-25.695556,-48.467778,11,2011,PRESERVED_SPECIMEN,HUEM - Herbário UEM,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1848243089,Brazil,-30.423611,-50.298333,11,2011,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077504512,Brazil,-30.710031,-50.506481,11,2011,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1675531092,Brazil,0,0,11,2011,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1802962227,Brazil,,,11,2011,PRESERVED_SPECIMEN,PACA-AGP - Herbarium Anchieta,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1087528140,Brazil,-26.246389,-48.510556,11,2011,PRESERVED_SPECIMEN,JOI - Herbário Joinvillea,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1095351319,Brazil,0,0,12,2011,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1264707367,Brazil,-25.839894,-48.538086,2,2010,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1499617835,Brazil,0,0,3,2010,PRESERVED_SPECIMEN,UFG - Herbário da Universidade Federal de Goiás,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1675532016,Brazil,0,0,3,2010,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1089114036,Brazil,0,0,3,2010,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077364548,Brazil,,,4,2010,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077236551,Brazil,-13.483333,-39.033333,7,2010,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1213677357,Brazil,-28.227219,-52.398619,8,2010,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1090747486,Brazil,-22.229278,-54.831389,9,2010,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1675531987,Brazil,0,0,10,2010,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077509878,Brazil,-29.337244,-51.932844,10,2010,PRESERVED_SPECIMEN,HVAT - Herbário do Vale do Taquari,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077292463,Brazil,0,0,11,2010,PRESERVED_SPECIMEN,CESJ - Herbário Leopoldo Krieger,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1090827866,Brazil,0,0,11,2010,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1090158728,Brazil,-25.869389,-48.5635,11,2010,PRESERVED_SPECIMEN,IRAI - Herbário do Parque da Ciência Newton Freire Maia,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077412324,Brazil,-26.349722,-48.563333,11,2010,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1848243080,Brazil,0,0,11,2010,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1829088866,Brazil,-26.349722,-48.563333,11,2010,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077412676,Brazil,-27.904722,-48.599444,12,2010,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077412453,Brazil,-27.45,-48.54,12,2010,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077412533,Brazil,-26.807778,-48.598611,12,2010,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077412564,Brazil,-28.805,-49.218056,12,2010,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1086910000,Brazil,-24.443056,-47.071667,2,2009,PRESERVED_SPECIMEN,SPSF - Herbário Dom Bento José Pickel,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1095347223,Brazil,-30.07,-51.019444,4,2009,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1090159057,Brazil,0,0,10,2009,PRESERVED_SPECIMEN,IRAI - Herbário do Parque da Ciência Newton Freire Maia,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1848242835,Brazil,0,0,10,2009,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1135928860,Brazil,,,10,2009,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077377590,Brazil,,,10,2009,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1090157426,Brazil,-25.893333,-48.597778,12,2009,PRESERVED_SPECIMEN,IRAI - Herbário do Parque da Ciência Newton Freire Maia,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1090157255,Brazil,-25.3815,-49.122306,12,2009,PRESERVED_SPECIMEN,IRAI - Herbário do Parque da Ciência Newton Freire Maia,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1848242552,Brazil,0,0,12,2009,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
1077501912,Brazil,0,0,1,2008,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle bonariensis
